Sample_Name,Pig,Diet,Time_Point,Diet_By_Time_Point,Acidobacteria,Actinobacteria,Apicomplexa,Aquificae,Ascomycota,Bacillariophyta,Bacteroidetes,Basidiomycota,Candidatus Poribacteria,Chlamydiae,Chlorobi,Chloroflexi,Chlorophyta,Chrysiogenetes,Crenarchaeota,Cyanobacteria,Deferribacteres,Deinococcus-Thermus,Dictyoglomi,Elusimicrobia,Euryarchaeota,Fibrobacteres,Firmicutes,Fusobacteria,Gemmatimonadetes,Hemichordata,Korarchaeota,Lentisphaerae,Microsporidia,Nanoarchaeota,Nematoda,Nitrospirae,Placozoa,Planctomycetes,Proteobacteria,Spirochaetes,Synergistetes,Tenericutes,Thaumarchaeota,Thermotogae,Verrucomicrobia,unclassified (derived from Bacteria),unclassified (derived from Eukaryota),unclassified (derived from Viruses),unclassified (derived from other sequences)
ShotgunWGS-ControlPig6GutMicrobiome-Day14,6,Control,Day 14,Control Day 14,7.405998704336761e-4,0.04813358009688098,5.952629438767543e-5,5.032677616412559e-4,3.8421517286590506e-4,2.7057406539852467e-5,0.36709556521376124,6.184550066251992e-5,6.699929238439659e-6,1.4224465152379583e-4,0.0012598443864127497,0.0020208017341478385,9.534514685471822e-5,8.529525299705873e-5,1.669828517888038e-4,0.0022774605618972963,3.8498824162418654e-4,6.393278630987998e-4,3.1360822627619477e-4,1.6285981841130247e-4,0.00339506029678625,0.0012286639464953958,0.5308271474948192,0.003955535146540337,5.437250266579877e-5,6.699929238439659e-6,1.9326718957037477e-5,1.9713253336178227e-4,1.2626789718597818e-5,1.0307583443753322e-6,4.586874632470228e-5,1.41986961937702e-4,1.7522891854380646e-5,3.924612396209077e-4,0.02713703262195546,0.0029683263422148626,0.0011474917268758384,7.122540159633545e-4,1.4430616821254649e-5,0.0012920555846744788,8.269258817751101e-4,3.0845443455431815e-4,3.246888784782296e-4,3.9838810010106585e-4,1.2369100132503985e-5
ShotgunWGS-ControlPig8GutMicrobiome-Day0,8,Control,Day 0,Control Day 0,8.849650228110032e-4,0.06598072552370549,9.142495796594706e-5,5.366454563938664e-4,5.228364783677597e-4,4.380779235868297e-5,0.33127666858881294,9.642476035470979e-5,1.1666205573779702e-5,1.9737315144210968e-4,0.0014458952336645742,0.0022884809790851123,1.3594700780873898e-4,9.904370446310931e-5,2.1475341688876107e-4,0.003240824291230394,4.7474314110442303e-4,8.537757793382452e-4,3.69985376768442e-4,2.397524288325747e-4,0.004565533838424481,0.0016577916206168995,0.5293436021338205,0.0050574191591475194,8.094918153234895e-5,4.285544904653768e-6,2.3094325319523086e-5,4.364113227905754e-4,2.09515528671962e-5,1.1904291401816023e-6,6.309274442962493e-5,1.897544049449474e-4,1.6189836306469792e-5,6.266418993915954e-4,0.0368314014255627,0.004157692814998264,0.001783024766164004,8.882982244035117e-4,1.9046866242905636e-5,0.0016915998081980569,0.001495655171724165,4.095076242224712e-4,9.973415336441463e-4,6.252133844233776e-4,7.856832325198576e-6
ShotgunWGS-ControlPig3GutMicrobiome-Day14,3,Control,Day 14,Control Day 14,6.896862510281841e-4,0.0326726883208639,4.920780611917198e-5,4.252590402509494e-4,3.317642086245227e-4,3.3409510470385185e-5,0.326381651600445,5.127971374524238e-5,5.438757518434798e-6,1.4347960310537514e-4,0.0011574193976135769,0.001967276290953844,9.375382007968556e-5,7.018587083313478e-5,1.6523463317911433e-4,0.002920353798946228,3.6750461517423707e-4,6.011122000136746e-4,2.872181946640091e-4,1.8103292882790115e-4,0.003312462317180051,0.0012910574394951176,0.5870258180409285,0.0037180382349833313,6.241621723537078e-5,4.143815252140799e-6,1.3467399569457596e-5,2.0045706282231112e-4,1.4503353382492795e-5,1.0359538130351997e-6,3.7812314175784784e-5,1.4581049918470436e-4,8.028642051022798e-6,4.066118716163159e-4,0.027162449989329675,0.0028286718864926124,0.001074284104117502,6.456582139741882e-4,1.5280318742269194e-5,0.0013084096658634572,9.680988382813941e-4,2.973187443411023e-4,3.278793818256407e-4,5.187538718773762e-4,1.6057284102045595e-5
ShotgunWGS-TomatoPig14GutMicrobiome-Day7,14,Tomato,Day 7,Tomato Day 7,7.32354419592478e-4,0.03292016338161324,1.398131164676549e-4,5.384469425867424e-4,5.592524658706196e-4,5.409436053808077e-5,0.3461498130831788,9.487318617448011e-5,1.4147755833036508e-5,1.855852676921848e-4,0.001302425757570714,0.002370997433430648,1.5312865136933633e-4,9.487318617448011e-5,2.729684654844691e-4,0.002851188910822534,4.518959657258132e-4,8.047576406203708e-4,3.528616748945576e-4,2.9876731435647685e-4,0.006906601509315881,0.0014563866298714053,0.5231174330311816,0.004614665064363967,5.076547681266041e-5,4.161104656775443e-6,2.9959953528783193e-5,4.0945269822670365e-4,1.997330235252213e-5,4.993325588130532e-6,1.1484648852700224e-4,2.005652444565764e-4,1.5812197695746686e-5,4.493993029317479e-4,0.059739315115462335,0.00468873272725457,0.0015562531416340158,0.0010752294433107746,3.0792174460138284e-5,0.0016627774208474672,0.0010477661525760567,9.66208501303258e-4,5.509302565570687e-4,8.405431406686396e-4,9.57054071058352e-5
ShotgunWGS-ControlPig5GutMicrobiome-Day7,5,Control,Day 7,Control Day 7,6.563655904246158e-4,0.04634442458779362,5.567386704494509e-5,4.616698448522347e-4,3.8353108408739953e-4,3.613917685373629e-5,0.2599966335217237,5.925522691333337e-5,7.162719736776561e-6,1.6441697577600743e-4,0.001248592281388096,0.0020345379834143967,1.2632432990315027e-4,8.888284037000005e-5,2.12276966744469e-4,0.003422152143329929,3.7962414604915775e-4,6.820862658430408e-4,2.920436183585716e-4,2.1650948295256424e-4,0.004326608299182896,0.0013153358062080595,0.6250283659980485,0.004317166532257145,6.869699383908429e-5,2.6046253588278403e-6,2.1488159210329685e-5,4.359491694338098e-4,2.6046253588278405e-5,1.3023126794139202e-6,5.241808534641029e-5,1.5725425603923087e-4,8.790610586043962e-6,5.450178563347256e-4,0.03717679448105933,0.003502244373113885,0.0014188696642214661,7.517599941916854e-4,1.7906799341941404e-5,0.0014738923749267041,0.0011206400606356783,4.307399187161541e-4,4.457165145294142e-4,4.8022780053388306e-4,4.2325162080952404e-6
ShotgunWGS-TomatoPig18GutMicrobiome-Day7,18,Tomato,Day 7,Tomato Day 7,7.72411719566866e-4,0.10169526702895787,5.665474486292917e-5,3.6909724871096435e-4,4.4818951629188526e-4,3.5900036348786806e-5,0.3872593014750427,6.675163008602547e-5,9.535947155146495e-6,1.245282510848542e-4,0.0012329418733536468,0.0018258534111765788,1.2340637494895465e-4,5.104536418343124e-5,1.536970306182435e-4,0.004184597986905462,2.496174402376582e-4,6.181537508806727e-4,2.3727680274276277e-4,1.2901575562845256e-4,0.002787862197710475,0.001161702738724023,0.44535285248226314,0.002842834128369555,1.1667511813355711e-4,1.1218761358995877e-6,1.4023451698744846e-5,1.615501635695406e-4,1.7950018174393403e-5,5.609380679497938e-7,7.516570110527237e-5,1.3742982664769949e-4,1.626720397054402e-5,6.14788122472974e-4,0.03892405347310414,0.002652115185266625,8.313102167015944e-4,5.132583321740613e-4,1.4584389766694639e-5,9.592040961941474e-4,0.0013243747784294632,8.02702375236155e-4,2.905659191979932e-4,7.107085320923887e-4,3.3095346009037835e-5
ShotgunWGS-TomatoPig16GutMicrobiome-Day7,16,Tomato,Day 7,Tomato Day 7,7.179709500722087e-4,0.02664403914908095,1.0243661962813678e-4,4.0791725316204465e-4,7.865669007160503e-4,3.658450701004885e-5,0.37786856832934107,9.100396118749651e-5,9.603433090137823e-6,1.641729752075942e-4,0.0013728336255520832,0.0018859313363680183,1.3170422523617586e-4,5.9907130228954994e-5,1.9206866180275647e-4,0.0023016227972696983,3.9968573908478366e-4,6.868741191136671e-4,2.794141722892481e-4,2.277385561375541e-4,0.004096092866112594,0.0014720691008168407,0.5324902433692867,0.004233284767400277,4.664524643781228e-5,5.4876760515073275e-6,1.9664172517901257e-5,2.4740272865545534e-4,1.8749559842650035e-5,3.658450701004885e-6,6.859595064384159e-5,1.4359419001444174e-4,1.6463028154521982e-5,4.088318658372959e-4,0.03210427682033074,0.0037334489403754853,0.0015036232381130078,7.943411084556857e-4,2.7438380257536637e-5,0.0014391430445077967,0.001020707745580363,6.009005276400523e-4,5.318472706585852e-4,5.780352107587718e-4,2.7438380257536637e-5
ShotgunWGS-ControlPig10GutMicrobiome-Day7,10,Control,Day 7,Control Day 7,6.471020496882643e-4,0.05447671978088267,1.4308034534709697e-4,4.4868400979925876e-4,3.8038433275203827e-4,3.24049562632798e-5,0.3776269202429275,5.533769454190858e-5,1.1466369139314392e-5,1.191505314911365e-4,0.0011032641263175108,0.0018575518005689313,1.390920430377702e-4,7.178944156788141e-5,1.3709789188310684e-4,0.0022833030720895613,3.7639603044271154e-4,5.758111459090488e-4,2.801782372302038e-4,1.5903355458440395e-4,0.0027599051980541074,0.001378955523449722,0.49934292719453843,0.0033187660591485176,4.785962771192094e-5,5.483915675324274e-6,1.1964906927980235e-5,1.4407742092442866e-4,1.7448822603304507e-5,0,1.0917977571781963e-4,1.36599354094441e-4,1.0469293561982705e-5,2.9014899300352067e-4,0.044197369116381655,0.0026013701812583694,8.699484412218962e-4,5.643447767697344e-4,1.2463444716646078e-5,0.0011441442249881099,7.936721595560222e-4,3.729062659220506e-4,4.790948149078752e-4,4.3921179181460776e-4,2.392981385596047e-5
ShotgunWGS-ControlPig2GutMicrobiome-Day0,2,Control,Day 0,Control Day 0,8.525391924367673e-4,0.043646776093202194,1.4482762774535964e-4,5.735612100690519e-4,5.48921349015966e-4,3.695979157962864e-5,0.4061369133043751,1.034874164229602e-4,1.1498601824773355e-5,1.9930909829607148e-4,0.0015419077494553222,0.002246881551807498,1.51672033593439e-4,8.268042264479888e-5,2.2258007817954137e-4,0.0030030515099033076,5.196272919861864e-4,8.103776524125983e-4,3.5454022293051176e-4,2.4338707195770267e-4,0.004503892824270154,0.0018115773398696498,0.4664498176376506,0.004789441436252025,6.92653871825633e-5,4.654195976693977e-6,1.5331469099697806e-5,4.917021161260225e-4,1.451014039792828e-5,5.475524678463502e-7,7.47409118610268e-5,2.0067797946568734e-4,1.5879021567544156e-5,5.294832364074206e-4,0.048144098287858185,0.004143603300427255,0.001813767549741035,7.583601679671951e-4,2.1354546246007658e-5,0.0016938535592826843,0.0013157685802347796,4.281860298558459e-4,7.569912867975791e-4,4.944398784652543e-4,2.5461189754855284e-5
ShotgunWGS-TomatoPig18GutMicrobiome-Day0,18,Tomato,Day 0,Tomato Day 0,6.805245579465093e-4,0.044028161799679076,4.442748650188425e-5,3.7162285768046707e-4,3.146511396956979e-4,2.6395153745237113e-5,0.37792737935324033,5.4358336425834846e-5,5.749439429655609e-6,1.3929323709120178e-4,0.0011221860414064174,0.0019216194602844404,9.826314661593222e-5,6.089179032317076e-5,1.6333634743339798e-4,0.0019605588455125626,2.8982401488582136e-4,6.083952269199208e-4,2.9766415956262445e-4,1.871181196197007e-4,0.0035152595349226177,0.001351118265969068,0.5189441415825593,0.0035312011624321175,4.442748650188425e-5,2.6133815589343676e-6,1.77709946007537e-5,1.7117649211020108e-4,1.698698013307339e-5,3.920072338401551e-6,2.508846296576993e-5,1.2910104901135775e-4,6.794792053229356e-6,3.151738160074847e-4,0.03347062297789602,0.003225435520036796,9.8550618587415e-4,5.454127313496025e-4,1.5157613041819332e-5,0.0012050302368246369,8.543144316156447e-4,2.9034669119760824e-4,3.2797938564626313e-4,0.00066719631199594405,3.528065104561396e-5
