"","rab.all","rab.win.Control","rab.win.Tomato","diff.btw","diff.win","effect","overlap","we.ep","we.eBH","wi.ep","wi.eBH"
"Proteobacteria",6.58576687825203,6.31456505858913,6.75287323156112,0.374610158706365,0.441442752853333,0.868828872117816,0.164600002032626,0.00835332179455071,0.322107127011019,0.011098811405313,0.406456400526988
"unclassified (derived from Eukaryota)",0.439791081071677,0.903318235945023,0.372102290213286,-0.481646036517665,0.37754562000992,-0.885512598892727,0.237200001210372,0.0259925660275952,0.412166276842906,0.0520323886639676,0.562962527537447
"Chlorophyta",-1.59199060263774,-1.66285905280136,-1.5087875672476,0.173241825798018,0.312764421842713,0.517520161465693,0.266600000994761,0.06707924869885,0.52809843200475,0.107761815583797,0.614258067922016
"Tenericutes",0.939192304677635,1.04327144162202,0.888573660802146,-0.158328725819929,0.203739326948037,-0.676404553719527,0.260947811470458,0.068725650472026,0.547691499701731,0.0862332914763255,0.613209106260132
"Basidiomycota",-2.21663123253867,-2.13062065314477,-2.31372427189349,-0.176115235036727,0.295034354192772,-0.569333217545915,0.26400000101216,0.0993360937976377,0.570079087376463,0.111654755461257,0.611318107438286
"Elusimicrobia",-0.785998530136999,-0.851129685913363,-0.733842396787908,0.125976992321179,0.237899113891777,0.481821091833948,0.278944212073274,0.0942130727688736,0.583963612060045,0.12846622572474,0.63456703876793
"Placozoa",-4.72582451215081,-4.60845063042556,-4.88355325265688,-0.289903749393437,0.637845262609843,-0.435483105738049,0.31020000073918,0.179407454134824,0.678634662166519,0.226294518175323,0.718329532380568
"Nitrospirae",-1.25611338660351,-1.33115637598326,-1.2170846616846,0.112296103112381,0.290405109233443,0.36435196618649,0.340200000593265,0.192635816531101,0.743946418450569,0.293651497109702,0.794643577878637
"Ascomycota",0.255184676001669,0.291801223960569,0.183082586007764,-0.119702513677331,0.256785688760987,-0.406118633009228,0.291941612516091,0.174849930542403,0.754657804331812,0.153043819957133,0.685417812254401
"unclassified (derived from other sequences)",-4.19386232283316,-4.83119189051252,-3.30589215474396,1.18248121579306,2.31829291465365,0.508254497433136,0.301600000784919,0.179472842201633,0.768583768583179,0.156500649505293,0.715883694729808
