"","rab.all","rab.win.Control","rab.win.Tomato","diff.btw","diff.win","effect","overlap","we.ep","we.eBH","wi.ep","wi.eBH"
"unclassified (derived from Bacteria)",0.63750971665752,0.308978405970611,1.03042627852294,0.659929118179968,0.38227690406857,1.58169052820593,0.0495900899442241,6.14492746279476e-05,0.0027560038887444,0.000215646582519648,0.00959928229665072
"Chrysiogenetes",-2.27636112206055,-2.15697496276933,-2.43226554396481,-0.274319911897423,0.36338572940892,-0.7063055746213,0.211200001444625,0.0499034595463182,0.355074749505506,0.0541898936976336,0.312640052574778
"Ascomycota",0.229352152752668,0.135159209542756,0.384246932954756,0.234378949556369,0.402343817025264,0.532220760552931,0.235800001221802,0.0434242238119065,0.415284358249265,0.062862607980255,0.364969282573198
"Firmicutes",10.427549345909,10.6466196362334,10.2738925467269,-0.331891630902063,0.409385044929003,-0.686298000570697,0.209758049848889,0.0410231710998055,0.421251043595983,0.0286924592435428,0.298069326012975
"Basidiomycota",-2.19593727821426,-2.34673949002114,-2.08502164044962,0.257416864870731,0.42613246152206,0.545021091236279,0.245350930959693,0.0808753984570599,0.46703328771201,0.0853501916040616,0.39930335600787
"Bacillariophyta",-3.37715424567776,-3.51393136549265,-3.27170087512146,0.255535239160583,0.456900572774587,0.530443904684919,0.277744452032692,0.126601811719592,0.503168056996022,0.16212315702873,0.489716326076967
"unclassified (derived from Viruses)",0.75652166322473,0.611257819265129,0.897005390213183,0.299422575192684,0.524262453188465,0.474338113172534,0.205558889724271,0.083844996550767,0.507476040218647,0.030048756197363,0.283805349350887
"Fusobacteria",3.43582979987131,3.53872085945168,3.39196685352223,-0.133362493976316,0.272146670514161,-0.480620348885694,0.286200000872128,0.132906238427677,0.605608253216993,0.132020838294832,0.532577772762045
"Chlamydiae",-1.1757724567706,-1.1031522811222,-1.26765269316263,-0.204886687923121,0.421384499043308,-0.271935497318433,0.272145571844024,0.169411379786521,0.651093880663601,0.117939422806296,0.474808117197191
"Placozoa",-4.83894720932631,-4.96153100399885,-4.68422540923305,0.267143666355272,0.652448730179639,0.372306780058067,0.338200000602416,0.294999921883466,0.653404619964436,0.310332319383403,0.626344246742687
"Thermotogae",1.89195798653702,1.99257602629358,1.8119879084558,-0.136293630478084,0.25966780111417,-0.474925892593868,0.30473905295725,0.19929333309442,0.655052214916015,0.158374872805213,0.562460795073681
"Candidatus Poribacteria",-5.13328670993264,-5.32244902644538,-5.00835992167549,0.316209887869066,0.772149663535866,0.371685058784565,0.341331734241153,0.295435842189889,0.662801961499272,0.30897829569811,0.633419843355079
"Fibrobacteres",1.88921768632833,2.0366778135563,1.8164046013232,-0.20273647540067,0.409234143282037,-0.450668225848982,0.318200000698321,0.216680918074746,0.679360571799677,0.19268083309879,0.602403695857302
"Spirochaetes",3.26840831423502,3.31077855001702,3.23963112722982,-0.083355574496629,0.306518228581711,-0.266890494112296,0.341000000589625,0.224682518345569,0.680905801715234,0.274071099179458,0.652276091863332
"Aquificae",0.29370748316685,0.35110771207489,0.196751478135318,-0.121233075957826,0.287255250957192,-0.387838322596552,0.347200000561801,0.285575246648609,0.709986863250359,0.284854240187058,0.662389032581706
"Chlorobi",1.80298020105297,1.81726091778704,1.78290295054817,-0.081951132723515,0.275101557014208,-0.285295900394803,0.37712457552072,0.302138173959972,0.725571435350697,0.400151464634437,0.730424535633029
"unclassified (derived from other sequences)",-4.03044017451971,-4.63299543729897,-3.85256208444551,0.72175089930875,1.79629413873266,0.35795860284864,0.36460000048705,0.293393146257336,0.743997387511132,0.343276959882223,0.722461500900591
"Microsporidia",-4.23261222514841,-4.09586659254325,-4.35455320932318,-0.22504950503014,0.68476012745073,-0.300756214159185,0.362800000494572,0.412989142170111,0.765267490778843,0.366689558119899,0.693508804370403
"Thaumarchaeota",-4.3197006483288,-4.26987911697293,-4.40210505996442,-0.136726935703988,0.58877103650535,-0.216251142226986,0.408118376641584,0.448247710121847,0.775066675125159,0.504341131005218,0.777698902709342
"Dictyoglomi",-0.340396358356897,-0.267987846198418,-0.430766911489003,-0.131510165308212,0.297728027971303,-0.384210875701152,0.341200000588717,0.414849295416174,0.776110320396186,0.284636536837775,0.659900816913873
"Deinococcus-Thermus",0.908597952160685,0.948742697686226,0.851423935490955,-0.0816299159161966,0.205027219761226,-0.344393186789582,0.329800000641687,0.49338608665444,0.804708614521487,0.245475178072701,0.608910570431341
"Deferribacteres",0.0432329705903225,0.0788413289343257,-0.00638213182427183,-0.0797575567167712,0.339704453305936,-0.225407618486021,0.379524095607131,0.49128726914459,0.81729007569934,0.395172118902769,0.730956440678878
"Hemichordata",-6.39844486096201,-6.365320104821,-6.42687942976608,-0.079851477054917,1.08326437255978,-0.0639929242690581,0.468106378830959,0.560102826699866,0.835788427128947,0.59570686743597,0.834766127512
"Synergistetes",1.80329972729215,1.88857154501128,1.7972263494257,-0.0985613700549832,0.451673948393702,-0.215369986074416,0.405918816561738,0.51899057988159,0.839110774980845,0.511903115460391,0.815969360198344
