"","rab.all","rab.win.Control","rab.win.Tomato","diff.btw","diff.win","effect","overlap","we.ep","we.eBH","wi.ep","wi.eBH"
"unclassified (derived from Bacteria)",2.50269849210272,1.98741925471711,3.01446691281411,0.88943417512239,0.545812566843929,1.62155523932082,0.0466000085043063,3.46609327138927e-05,0.0256786224914282,0.000188453960899781,0.0816148813991306
"Staphylococcus",4.39814801508884,4.23921098968968,4.66479000999623,0.39304803982262,0.284087000922609,1.37161873711376,0.0507898497932628,0.000333430010042835,0.105604501131077,0.000235402368529303,0.0877396708683473
"Alphatorquevirus",-2.77950116000972,-3.97828175972424,-2.19015735873328,1.87299471841801,1.51037591280899,1.21158915407179,0.0950000039255591,0.00130803523331411,0.209287027160688,0.00171189027690576,0.232593553235281
"Lambda-like viruses",-0.533448921392186,-1.34892385335434,0.25404381948454,1.59671085841039,1.17831392005204,1.18787868443699,0.102779447699333,0.00139511037701309,0.233032270197504,0.00171192275217043,0.249016297217595
"Clavibacter",0.774838689404868,0.550523538074762,1.03982153743868,0.678663110235456,0.690933096287939,0.990139350494784,0.134573087996631,0.00342035378179392,0.364626964131888,0.00592994002901124,0.427216464655492
"Kluyveromyces",-2.74865488869944,-3.11932047499494,-2.30479416681617,0.879726656824747,0.954279550017915,0.872228331114928,0.153400002224045,0.0137740657974874,0.509214124048545,0.0189919677845374,0.500119983521612
"P1-like viruses",-5.24731060483546,-7.12175486920484,-2.617891206791,4.36740886413065,4.39291584815516,0.92442306004121,0.145170968188638,0.00982160370791084,0.514242158632812,0.0086191842213514,0.456773656054969
"Saccharomyces",-1.51736669677934,-1.70365532140859,-0.372635662530771,1.32825451291994,1.27706109695389,0.887031331373312,0.153400002224045,0.00865705050070436,0.561503736874503,0.0142303470523285,0.483045993608968
"Desulfurispirillum",0.0671150146410424,0.165390907839064,-0.101386783167168,-0.276519573902402,0.319689745598098,-0.799492043409409,0.184600001746136,0.0265575493280095,0.578352140419124,0.039126014852021,0.584562354167917
"P22-like viruses",-5.24438143804456,-6.00579286651782,-4.43422816025519,1.57760838713,1.94282150625803,0.755911703813335,0.19400000163081,0.0331711998852736,0.623679986012179,0.0373171859100652,0.624584889525222
"Salmonella",2.03647548617992,1.87289317122628,2.42721202117337,0.506785704368732,0.607487697694909,0.823377036255679,0.195360929428765,0.0145663832924253,0.660588256810966,0.0216766762649116,0.688224475873163
"Methanospirillum",0.529078991013701,0.59079487797182,0.409157819081427,-0.193191066757676,0.269176407099229,-0.671131490893562,0.235200001226737,0.0594596479287262,0.688808374187849,0.0886170300287947,0.716168233278981
"Vanderwaltozyma",-3.22331213414828,-3.62409156691292,-2.4584142520056,1.39281292760778,1.81730773623647,0.731303995775239,0.215956810035678,0.0264518238976602,0.689169488179111,0.0485037346554374,0.720098745944194
"Prosthecochloris",-0.551666155670482,-0.423078712032254,-0.699089273909284,-0.297746643687816,0.440184153086092,-0.636893858629747,0.238400001200669,0.0512269364154902,0.705148094976133,0.0736681569204789,0.729787551232189
